kingdom,phylum,class,order,family,genus,species,reads,sample
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900557255,2323132,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella hominis,77443,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900546535,42984,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900544825,36307,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900556795,1803339,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000436915,18139,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900767615,17702,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella copri_A,16494,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900555035,13142,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900548535,181025,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900551985,7701,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
