reaction,metabolite,flux
EX_12dgr180_m,12dgr180_m,0.05523337716003005
EX_ac_m,ac_m,0.5645040740000017
EX_acgam_m,acgam_m,0.039716724641157886
EX_ala_D_m,ala_D_m,0.020000000000000007
EX_ala_L_m,ala_L_m,1.5705054826019373
EX_amet_m,amet_m,0.1
EX_arab_L_m,arab_L_m,0.0178783
EX_arg_L_m,arg_L_m,0.8225306934869115
EX_asn_L_m,asn_L_m,0.13178818330765696
EX_asp_L_m,asp_L_m,3.790569574192171
EX_btn_m,btn_m,0.2024614676789309
EX_ca2_m,ca2_m,0.23845791689646378
EX_cbl1_m,cbl1_m,0.1
EX_cgly_m,cgly_m,0.266564549380958
EX_chol_m,chol_m,0.1
EX_cit_m,cit_m,0.14434055477777794
EX_cl_m,cl_m,0.1446476960698899
EX_cobalt2_m,cobalt2_m,0.019999999999999997
EX_csn_m,csn_m,0.2755612662417078
EX_cu2_m,cu2_m,0.13895015438906025
EX_ddca_m,ddca_m,0.026030747207849425
EX_fe2_m,fe2_m,0.18374037043107744
EX_fe3_m,fe3_m,0.18374037043107744
EX_fol_m,fol_m,0.8847199038038238
EX_for_m,for_m,23.52312598281368
EX_fru_m,fru_m,0.3101943156605358
EX_fum_m,fum_m,2.191837448333324
EX_gam_m,gam_m,0.183484482036232
EX_gln_L_m,gln_L_m,0.037186180647058274
EX_glu_L_m,glu_L_m,3.162016192784027
EX_glyc3p_m,glyc3p_m,0.2957618880833376
EX_h_m,h_m,2.2503117130330867
EX_h2_m,h2_m,0.2509492568605007
EX_h2o_m,h2o_m,13.297359931767332
EX_ile_L_m,ile_L_m,0.02384526878489297
EX_k_m,k_m,0.12141766703861297
EX_leu_L_m,leu_L_m,0.023534601758256755
EX_malt_m,malt_m,0.27956840125000065
EX_man_m,man_m,0.1456142492777749
EX_met_L_m,met_L_m,0.025443688501546248
EX_metsox_S_L_m,metsox_S_L_m,0.1
EX_mg2_m,mg2_m,0.17607532210109
EX_mn2_m,mn2_m,0.18250487329434684
EX_mnl_m,mnl_m,0.3646418425806469
EX_mobd_m,mobd_m,0.1
EX_na1_m,na1_m,5.203696918159006
EX_o2_m,o2_m,0.4288545167499993
EX_orn_m,orn_m,8.939879666360412
EX_phe_L_m,phe_L_m,0.16843381873759858
EX_pheme_m,pheme_m,0.019999999999999997
EX_pi_m,pi_m,1.5979715069994926
EX_pnto_R_m,pnto_R_m,0.3331541218637992
EX_pro_L_m,pro_L_m,1.5853925251547347
EX_ptrc_m,ptrc_m,0.02564088487001458
EX_pydx_m,pydx_m,0.1472049689440905
EX_ribflv_m,ribflv_m,0.16546762589929054
EX_sheme_m,sheme_m,0.019999999999999997
EX_so4_m,so4_m,0.019999999999999997
EX_spmd_m,spmd_m,0.019999999999999997
EX_sucr_m,sucr_m,0.07344230953184151
EX_thm_m,thm_m,0.15400696864111507
EX_thymd_m,thymd_m,0.021772151898736172
EX_tre_m,tre_m,0.9597329149999976
EX_trp_L_m,trp_L_m,0.012085955966932219
EX_ura_m,ura_m,0.019496621656685642
EX_val_L_m,val_L_m,0.026082533944829803
EX_xan_m,xan_m,0.1
EX_zn2_m,zn2_m,0.17315096251266465
EX_26dap_M_m,26dap_M_m,0.07039796271465029
EX_alagly_m,alagly_m,0.00897206
EX_cellb_m,cellb_m,0.1026964070000007
EX_drib_m,drib_m,0.0178783
EX_glyasp_m,glyasp_m,0.1880402889999932
EX_gthox_m,gthox_m,0.051281769740029064
EX_hxan_m,hxan_m,0.019999999999998963
EX_inulin_m,inulin_m,0.0016844820484234
EX_mqn7_m,mqn7_m,0.019999999999999997
EX_nac_m,nac_m,0.14427121342798407
EX_raffin_m,raffin_m,0.004701945
EX_rib_D_m,rib_D_m,0.04297621989467253
EX_tyr_L_m,tyr_L_m,0.15137405953376204
EX_xyl_D_m,xyl_D_m,0.05857993415999792
EX_4abz_m,4abz_m,0.019999999999999997
EX_acald_m,acald_m,0.3872499014999999
EX_ade_m,ade_m,0.019961776385243282
EX_adn_m,adn_m,0.023630383631710574
EX_chsterol_m,chsterol_m,0.0002768146422349564
EX_cys_L_m,cys_L_m,0.17694260097569514
EX_dpcoa_m,dpcoa_m,0.0001587939999999
EX_gly_m,gly_m,0.10973303603356105
EX_glyc_m,glyc_m,0.929658335500002
EX_gua_m,gua_m,0.021251315777498416
EX_h2s_m,h2s_m,0.17471031345505544
EX_his_L_m,his_L_m,0.6233832762011389
EX_lys_L_m,lys_L_m,0.02239089513002441
EX_mqn8_m,mqn8_m,0.020000000000002516
EX_nmn_m,nmn_m,0.01971295064017521
EX_pime_m,pime_m,0.1
EX_pydam_m,pydam_m,0.14720496894409948
EX_pydx5p_m,pydx5p_m,0.1
EX_pydxn_m,pydxn_m,0.1472049689441075
EX_ser_L_m,ser_L_m,1.5657111904546432
EX_cellul_m,cellul_m,9.907443933333628e-05
EX_cytd_m,cytd_m,2.040602054999997
EX_glyasn_m,glyasn_m,0.0042078
EX_glypro_m,glypro_m,0.0018435
EX_ocdca_m,ocdca_m,0.006442555890508562
EX_thr_L_m,thr_L_m,0.6925099035142532
EX_glc_D_m,glc_D_m,0.38137078891627096
EX_gthrd_m,gthrd_m,0.019999999999999997
EX_ins_m,ins_m,0.0821844578571427
EX_pyr_m,pyr_m,0.1498143298888885
EX_ttdca_m,ttdca_m,0.021516613804336823
EX_gal_m,gal_m,75.62965930013911
EX_lcts_m,lcts_m,0.5898688549297686
EX_pullulan1200_m,pullulan1200_m,1.18e-05
EX_strch1_m,strch1_m,0.31957189004161685
EX_4hbz_m,4hbz_m,0.020000000000000052
EX_no2_m,no2_m,0.8116112616867472
EX_rmn_m,rmn_m,0.0148985999999999
EX_melib_m,melib_m,0.0074492999999999
EX_dextran40_m,dextran40_m,0.001996924454427
EX_nh4_m,nh4_m,2.0856240739999974
EX_oxa_m,oxa_m,0.0446957
EX_succ_m,succ_m,1.8097882877777725
EX_2dmmq8_m,2dmmq8_m,0.019999999999999997
EX_3mop_m,3mop_m,0.06611288625743156
EX_q8_m,q8_m,0.020000000000000042
EX_alahis_m,alahis_m,0.0009524199999999
EX_glyphe_m,glyphe_m,0.0020477
EX_glytyr_m,glytyr_m,0.0031481
EX_glcn_m,glcn_m,0.1682520270000004
EX_hdca_m,hdca_m,0.02410183148450555
EX_arab_D_m,arab_D_m,0.01999999999999771
EX_dcyt_m,dcyt_m,0.027113040841582704
EX_ncam_m,ncam_m,0.14550569700379845
EX_meoh_m,meoh_m,10.0
EX_glyleu_m,glyleu_m,1.0079465375000034
EX_co2_m,co2_m,0.123256922726429
EX_glygn2_m,glygn2_m,0.0410961121790124
EX_gsn_m,gsn_m,0.1
EX_lanost_m,lanost_m,0.1
EX_acnam_m,acnam_m,0.1
EX_sel_m,sel_m,0.1
EX_chor_m,chor_m,0.45383911695599805
EX_dad_2_m,dad_2_m,0.030076520886658534
EX_uri_m,uri_m,0.1
EX_glymet_m,glymet_m,0.001308965
EX_alathr_m,alathr_m,0.1176445192500001
EX_etoh_m,etoh_m,0.13669994499999982
EX_mal_L_m,mal_L_m,0.7244103485606053
EX_fuc_L_m,fuc_L_m,0.1273061955999999
EX_dgsn_m,dgsn_m,0.026462449112863853
EX_no_m,no_m,0.993399300810804
EX_akg_m,akg_m,0.3066453045757614
EX_urea_m,urea_m,0.6657560866666656
EX_2obut_m,2obut_m,0.02000000000000012
EX_dextrin_m,dextrin_m,0.027093126579301
EX_ocdcea_m,ocdcea_m,0.08596530764415308
EX_glygn5_m,glygn5_m,0.3985349788888845
EX_eltr_m3_m,eltr_m3_m,7.741250000001169e-05
EX_2ddglcn_m,2ddglcn_m,0.1912144614285708
EX_kestopt_m,kestopt_m,0.002821167
EX_glygln_m,glygln_m,0.0078154279999998
EX_xylan_m,xylan_m,0.000244371012784
EX_acmana_m,acmana_m,0.019999999999999997
EX_actn_R_m,actn_R_m,0.2302778095833332
EX_lac_L_m,lac_L_m,0.3435595491666671
EX_pect_m,pect_m,3.34e-05
EX_glcur_m,glcur_m,0.1019421038749995
EX_amylopect900_m,amylopect900_m,1.57e-05
EX_amylose300_m,amylose300_m,4.7e-05
EX_arabinogal_m,arabinogal_m,2.19e-05
EX_homogal_m,homogal_m,0.000128235
EX_rhamnogalurI_m,rhamnogalurI_m,1.4499999999999992e-05
EX_arabinan101_m,arabinan101_m,0.000166277
EX_arabinoxyl_m,arabinoxyl_m,0.000306649
EX_bglc_m,bglc_m,7.05e-08
EX_galmannan_m,galmannan_m,1.41e-05
EX_glcmannan_m,glcmannan_m,3.2899999999999987e-05
EX_levan1000_m,levan1000_m,1.41e-05
EX_lichn_m,lichn_m,8.3e-05
EX_lmn30_m,lmn30_m,0.000470195
EX_xyluglc_m,xyluglc_m,1.31e-05
EX_glc3meacp_m,glc3meacp_m,0.001045988
EX_rhamnogalurII_m,rhamnogalurII_m,0.000266987
EX_sbt_D_m,sbt_D_m,12.154066583161926
EX_starch1200_m,starch1200_m,1.4653621497289903e-05
EX_lnlc_m,lnlc_m,0.0359109
EX_gcald_m,gcald_m,1.0448281299999993
EX_acac_m,acac_m,0.005982091
EX_lnlnca_m,lnlnca_m,0.0017565
EX_lnlncg_m,lnlncg_m,0.0017565
EX_anzp_m,anzp_m,0.1612801341666662
EX_n2o_m,n2o_m,0.0441893107692308
EX_amp_m,amp_m,0.1
EX_coa_m,coa_m,0.0001518751428571
EX_glu_D_m,glu_D_m,0.1
EX_din_m,din_m,0.0016322949999999
EX_srv_m,srv_m,0.00938808
EX_alaglu_m,alaglu_m,0.0816761674999985
EX_lactl_m,lactl_m,0.2706997149999995
EX_mantr_m,mantr_m,0.0398850872115382
EX_stys_m,stys_m,0.0859535967187497
EX_malthx_m,malthx_m,0.0431787853030304
EX_alaala_m,alaala_m,3.0956e-05
EX_thmmp_m,thmmp_m,7.9397e-05
EX_4ahmmp_m,4ahmmp_m,3.0965e-05
EX_phenol_m,phenol_m,3.0964999999999986e-05
EX_alaasp_m,alaasp_m,0.3773494190277778
EX_fald_m,fald_m,0.1
EX_glyglu_m,glyglu_m,0.0063350389999999
EX_galur_m,galur_m,0.1475090140000005
EX_lac_D_m,lac_D_m,0.057845805
EX_bhb_m,bhb_m,0.1885257263846148
EX_metala_m,metala_m,0.001308965
EX_ph2s_m,ph2s_m,0.0018612
EX_alagln_m,alagln_m,4.190300000000006e-05
EX_tsul_m,tsul_m,0.0010661824999999
EX_duri_m,duri_m,0.0028113049999999
EX_5mta_m,5mta_m,0.0031170850000001
EX_gtp_m,gtp_m,0.0005431
EX_adocbl_m,adocbl_m,0.0009690019999999
EX_nadp_m,nadp_m,7.939700000000325e-05
EX_etha_m,etha_m,0.0288432599999999
EX_galt_m,galt_m,0.0577726116666669
EX_alaleu_m,alaleu_m,0.00460574
EX_tmao_m,tmao_m,0.0150053349999998
EX_4hphac_m,4hphac_m,0.0012067999999999
EX_5aptn_m,5aptn_m,0.4372868645555561
EX_but_m,but_m,0.003739011204377454
EX_ac_m,ac_m,0.033945157
EX_cytd_m,cytd_m,0.0020697199999999
EX_gsn_m,gsn_m,0.1388122401351351
EX_amet_m,amet_m,0.0001548249999999
EX_no2_m,no2_m,0.0002972123333333
EX_succ_m,succ_m,0.004888624
EX_glyc_m,glyc_m,0.4525299423333322
EX_amp_m,amp_m,0.0064518349999998
EX_fald_m,fald_m,0.00100044
EX_glyc3p_m,glyc3p_m,0.0088324925500001
EX_dpcoa_m,dpcoa_m,0.0001587939999999
EX_gtp_m,gtp_m,0.0013541
EX_nadp_m,nadp_m,7.939699999999996e-05
EX_glyasn_m,glyasn_m,0.0014833
EX_glygln_m,glygln_m,0.002689497
EX_MGlcn188_m,MGlcn188_m,0.00092476
EX_n2_m,n2_m,0.0083122775
EX_ph2s_m,ph2s_m,0.000411695
EX_chtbs_m,chtbs_m,0.00050022
EX_xan_m,xan_m,0.0109249
EX_cmp_m,cmp_m,0.00084104
EX_coa_m,coa_m,6.193e-05
EX_datp_m,datp_m,0.00023908
EX_fum_m,fum_m,3.0965e-05
EX_urea_m,urea_m,0.8454875286666678
