reaction,metabolite,flux,reaction,global_id,diff
EX_4abz_m,4abz,1.0,EX_4abz_m,EX_4abz(e),1.0
EX_ac_m,ac,0.2,EX_ac_m,EX_ac(e),1.0
EX_acgam_m,acgam,0.2,EX_acgam_m,EX_acgam(e),1.0
EX_ala_L_m,ala_L,0.44746593545156454,EX_ala_L_m,EX_ala_L(e),2.2373296772578226
EX_arg_L_m,arg_L,0.07157207076564526,EX_arg_L_m,EX_arg_L(e),2.1127577590631104
EX_asn_L_m,asn_L,0.0575867281009388,EX_asn_L_m,EX_asn_L(e),1.0
EX_asp_L_m,asp_L,0.09188720576342754,EX_asp_L_m,EX_asp_L(e),2.0419379058539455
EX_btn_m,btn,0.5526340004602677,EX_btn_m,EX_btn(e),2.7631700023013384
EX_ca2_m,ca2,1.370387807535548,EX_ca2_m,EX_ca2(e),1.370387807535548
EX_cbl1_m,cbl1,1.0,EX_cbl1_m,EX_cbl1(e),1.0
EX_cgly_m,cgly,0.2,EX_cgly_m,EX_cgly(e),1.0
EX_cl_m,cl,1.2838657297531133,EX_cl_m,EX_cl(e),1.2838657297531133
EX_cobalt2_m,cobalt2,1.0,EX_cobalt2_m,EX_cobalt2(e),1.0
EX_cu2_m,cu2,1.0820467578297301,EX_cu2_m,EX_cu2(e),1.0820467578297301
EX_cys_L_m,cys_L,0.4655287214872772,EX_cys_L_m,EX_cys_L(e),2.3276436074363858
EX_ddca_m,ddca,0.017921953983567707,EX_ddca_m,EX_ddca(e),0.08960976991783853
EX_fe2_m,fe2,0.6024094410752365,EX_fe2_m,EX_fe2(e),3.0120472053761826
EX_fe3_m,fe3,0.6024094410752365,EX_fe3_m,EX_fe3(e),3.0120472053761826
EX_fol_m,fol,0.40067051828107214,EX_fol_m,EX_fol(e),2.0033525914053607
EX_for_m,for,0.2,EX_for_m,EX_for(e),1.0
EX_fru_m,fru,0.018410820059037908,EX_fru_m,EX_fru(e),0.6178708086342981
EX_fum_m,fum,0.2,EX_fum_m,EX_fum(e),1.0
EX_gam_m,gam,0.2,EX_gam_m,EX_gam(e),1.0
EX_gln_L_m,gln_L,0.036,EX_gln_L_m,EX_gln_L(e),1.0
EX_glu_L_m,glu_L,0.05663097552153978,EX_glu_L_m,EX_glu_L(e),1.573082653376105
EX_gly_m,gly,0.1840377382419015,EX_gly_m,EX_gly(e),2.04486375824335
EX_h_m,h,0.2,EX_h_m,EX_h(e),1.0
EX_h2_m,h2,1.0,EX_h2_m,EX_h2(e),1.0
EX_h2o_m,h2o,2.1584094476438294,EX_h2o_m,EX_h2o(e),1.0792047238219147
EX_h2s_m,h2s,1.0,EX_h2s_m,EX_h2s(e),1.0
EX_hdca_m,hdca,0.03217827445655476,EX_hdca_m,EX_hdca(e),0.40591105878778666
EX_hxan_m,hxan,0.2,EX_hxan_m,EX_hxan(e),1.0
EX_ile_L_m,ile_L,0.056425927976086865,EX_ile_L_m,EX_ile_L(e),1.8808642658695622
EX_k_m,k,0.23642140693781977,EX_k_m,EX_k(e),1.1821070346890987
EX_leu_L_m,leu_L,0.052464380423418874,EX_leu_L_m,EX_leu_L(e),1.7488126807806292
EX_lys_L_m,lys_L,0.0564034397172522,EX_lys_L_m,EX_lys_L(e),1.8801146572417402
EX_malt_m,malt,0.014795137500000003,EX_malt_m,EX_malt(e),0.9930555555555558
EX_man_m,man,0.0297972,EX_man_m,EX_man(e),1.0
EX_met_L_m,met_L,0.0792977228001128,EX_met_L_m,EX_met_L(e),2.2027145222253557
EX_metsox_S_L_m,metsox_S_L,1.0,EX_metsox_S_L_m,EX_metsox_S_L(e),1.0
EX_mg2_m,mg2,1.7602718391618293,EX_mg2_m,EX_mg2(e),1.7602718391618293
EX_mn2_m,mn2,1.4585769980506846,EX_mn2_m,EX_mn2(e),1.4585769980506846
EX_mnl_m,mnl,0.13841279999999972,EX_mnl_m,EX_mnl(e),0.9290322580645143
EX_mqn7_m,mqn7,0.2,EX_mqn7_m,EX_mqn7(e),1.0
EX_na1_m,na1,0.28908487829486657,EX_na1_m,EX_na1(e),1.4454243914743328
EX_nac_m,nac,0.328189477874345,EX_nac_m,EX_nac(e),1.6409473893717248
EX_nmn_m,nmn,1.0,EX_nmn_m,EX_nmn(e),1.0
EX_o2_m,o2,0.001,EX_o2_m,EX_o2(e),1.0
EX_ocdca_m,ocdca,0.011649048146344175,EX_ocdca_m,EX_ocdca(e),0.344070229921025
EX_orn_m,orn,0.2,EX_orn_m,EX_orn(e),1.0
EX_pheme_m,pheme,0.2,EX_pheme_m,EX_pheme(e),1.0
EX_pi_m,pi,0.2538280140026073,EX_pi_m,EX_pi(e),1.2691400700130364
EX_pnto_R_m,pnto_R,0.3220430107526888,EX_pnto_R_m,EX_pnto_R(e),1.6102150537634439
EX_pro_L_m,pro_L,0.04272467389093863,EX_pro_L_m,EX_pro_L(e),1.1867964969705176
EX_ptrc_m,ptrc,0.2,EX_ptrc_m,EX_ptrc(e),1.0
EX_pydx_m,pydx,0.3409937888198763,EX_pydx_m,EX_pydx(e),1.7049689440993814
EX_ribflv_m,ribflv,0.2856115107913705,EX_ribflv_m,EX_ribflv(e),1.4280575539568523
EX_ser_L_m,ser_L,0.37300065168470725,EX_ser_L_m,EX_ser_L(e),1.865003258423536
EX_so4_m,so4,0.2,EX_so4_m,EX_so4(e),1.0
EX_spmd_m,spmd,0.2,EX_spmd_m,EX_spmd(e),1.0
EX_sucr_m,sucr,0.0060874034355828145,EX_sucr_m,EX_sucr(e),0.40858895705521425
EX_tre_m,tre,0.0148986,EX_tre_m,EX_tre(e),1.0
EX_trp_L_m,trp_L,0.029532023070059473,EX_trp_L_m,EX_trp_L(e),1.8046946388449934
EX_ttdca_m,ttdca,0.00193468968794357,EX_ttdca_m,EX_ttdca(e),0.14085631719549552
EX_ura_m,ura,0.2,EX_ura_m,EX_ura(e),1.0
EX_val_L_m,val_L,0.06539608250683421,EX_val_L_m,EX_val_L(e),1.8165578474120614
EX_xan_m,xan,0.2,EX_xan_m,EX_xan(e),1.0
EX_zn2_m,zn2,1.1170212765957428,EX_zn2_m,EX_zn2(e),1.1170212765957428
EX_cit_m,cit,0.2,EX_cit_m,EX_cit(e),1.0
EX_his_L_m,his_L,0.05463394457465863,EX_his_L_m,EX_his_L(e),1.8211314858219545
EX_thymd_m,thymd,0.2,EX_thymd_m,EX_thymd(e),1.0
EX_26dap_M_m,26dap_M,1.0,EX_26dap_M_m,EX_26dap_M(e),1.0
EX_2dmmq8_m,2dmmq8,1.0,EX_2dmmq8_m,EX_2dmmq8(e),1.0
EX_2obut_m,2obut,0.2,EX_2obut_m,EX_2obut(e),1.0
EX_3mop_m,3mop,0.2,EX_3mop_m,EX_3mop(e),1.0
EX_ade_m,ade,0.2,EX_ade_m,EX_ade(e),1.0
EX_csn_m,csn,0.2,EX_csn_m,EX_csn(e),1.0
EX_cytd_m,cytd,0.2,EX_cytd_m,EX_cytd(e),1.0
EX_dad_2_m,dad_2,0.2,EX_dad_2_m,EX_dad_2(e),1.0
EX_dcyt_m,dcyt,0.2,EX_dcyt_m,EX_dcyt(e),1.0
EX_dgsn_m,dgsn,0.2,EX_dgsn_m,EX_dgsn(e),1.0
EX_glyc_m,glyc,0.359931,EX_glyc_m,EX_glyc(e),1.0
EX_gua_m,gua,0.2,EX_gua_m,EX_gua(e),1.0
EX_mqn8_m,mqn8,0.2,EX_mqn8_m,EX_mqn8(e),1.0
EX_phe_L_m,phe_L,0.3693593306622952,EX_phe_L_m,EX_phe_L(e),1.846796653311476
EX_pydam_m,pydam,0.3409937888198771,EX_pydam_m,EX_pydam(e),1.7049689440993852
EX_pydxn_m,pydxn,0.34099378881987674,EX_pydxn_m,EX_pydxn(e),1.7049689440993836
EX_q8_m,q8,1.0,EX_q8_m,EX_q8(e),1.0
EX_sheme_m,sheme,1.0,EX_sheme_m,EX_sheme(e),1.0
EX_thm_m,thm,0.2501742160278746,EX_thm_m,EX_thm(e),1.250871080139373
EX_tyr_L_m,tyr_L,0.3573023918618152,EX_tyr_L_m,EX_tyr_L(e),1.786511959309076
EX_uri_m,uri,0.2,EX_uri_m,EX_uri(e),1.0
EX_chol_m,chol,0.2,EX_chol_m,EX_chol(e),1.0
EX_drib_m,drib,0.0357566,EX_drib_m,EX_drib(e),1.0
EX_glyc3p_m,glyc3p,0.2,EX_glyc3p_m,EX_glyc3p(e),1.0
EX_inulin_m,inulin,0.0004701945,EX_inulin_m,EX_inulin(e),1.0
EX_rib_D_m,rib_D,0.0357566,EX_rib_D_m,EX_rib_D(e),1.0
EX_thr_L_m,thr_L,0.08459878265156857,EX_thr_L_m,EX_thr_L(e),1.879972947812635
EX_12dgr180_m,12dgr180,1.0,EX_12dgr180_m,EX_12dgr180(e),1.0
EX_amp_m,amp,0.2,EX_amp_m,EX_amp(e),1.0
EX_arab_L_m,arab_L,0.0357566,EX_arab_L_m,EX_arab_L(e),1.0
EX_indole_m,indole,1.0,EX_indole_m,EX_indole(e),1.0
EX_xyl_D_m,xyl_D,0.0357566,EX_xyl_D_m,EX_xyl_D(e),1.0
EX_4hbz_m,4hbz,0.2,EX_4hbz_m,EX_4hbz(e),1.0
EX_acnam_m,acnam,0.2,EX_acnam_m,EX_acnam(e),1.0
EX_gal_m,gal,0.2901364399999996,EX_gal_m,EX_gal(e),9.737037037037025
EX_gthrd_m,gthrd,0.2,EX_gthrd_m,EX_gthrd(e),1.0
EX_ncam_m,ncam,0.3368687579125064,EX_ncam_m,EX_ncam(e),1.684343789562532
EX_ocdcea_m,ocdcea,0.1334832986946044,EX_ocdcea_m,EX_ocdcea(e),0.9794135894650663
EX_ala_D_m,ala_D,0.2,EX_ala_D_m,EX_ala_D(e),1.0
EX_no2_m,no2,0.2,EX_no2_m,EX_no2(e),1.0
EX_adn_m,adn,0.2,EX_adn_m,EX_adn(e),1.0
EX_arab_D_m,arab_D,1.0,EX_arab_D_m,EX_arab_D(e),1.0
EX_cellb_m,cellb,0.074493,EX_cellb_m,EX_cellb(e),1.0
EX_lcts_m,lcts,0.0617904394645184,EX_lcts_m,EX_lcts(e),4.147399048535997
EX_melib_m,melib,0.074493,EX_melib_m,EX_melib(e),1.0
EX_rmn_m,rmn,0.148986,EX_rmn_m,EX_rmn(e),1.0
EX_strch1_m,strch1,0.04219752206249516,EX_strch1_m,EX_strch1(e),0.8198819856783301
EX_chor_m,chor,1.0,EX_chor_m,EX_chor(e),1.0
EX_glcn_m,glcn,0.0297972,EX_glcn_m,EX_glcn(e),1.0
EX_oxa_m,oxa,0.0893914,EX_oxa_m,EX_oxa(e),1.0
EX_raffin_m,raffin,0.0047019445,EX_raffin_m,EX_raffin(e),1.0
EX_core2_m,core2,1.0,EX_core2_m,EX_core2(e),1.0
EX_core3_m,core3,1.0,EX_core3_m,EX_core3(e),1.0
EX_core4_m,core4,1.0,EX_core4_m,EX_core4(e),1.0
EX_core5_m,core5,1.0,EX_core5_m,EX_core5(e),1.0
EX_core6_m,core6,1.0,EX_core6_m,EX_core6(e),1.0
EX_core7_m,core7,1.0,EX_core7_m,EX_core7(e),1.0
EX_core8_m,core8,1.0,EX_core8_m,EX_core8(e),1.0
EX_fuc_L_m,fuc_L,0.0297972,EX_fuc_L_m,EX_fuc_L(e),1.0
EX_gncore1_m,gncore1,1.0,EX_gncore1_m,EX_gncore1(e),1.0
EX_gncore2_m,gncore2,1.0,EX_gncore2_m,EX_gncore2(e),1.0
EX_pullulan1200_m,pullulan1200,1.17549e-05,EX_pullulan1200_m,EX_pullulan1200(e),1.0
EX_succ_m,succ,0.0020024175,EX_succ_m,EX_succ(e),1.0
EX_gthox_m,gthox,0.2,EX_gthox_m,EX_gthox(e),1.0
EX_gchola_m,gchola,1.0,EX_gchola_m,EX_gchola(e),1.0
EX_gsn_m,gsn,0.2,EX_gsn_m,EX_gsn(e),1.0
EX_lanost_m,lanost,0.2,EX_lanost_m,EX_lanost(e),1.0
EX_tchola_m,tchola,1.0,EX_tchola_m,EX_tchola(e),1.0
EX_pime_m,pime,1.0,EX_pime_m,EX_pime(e),1.0
EX_kestopt_m,kestopt,0.0028211667,EX_kestopt_m,EX_kestopt(e),1.0
EX_mobd_m,mobd,1.0,EX_mobd_m,EX_mobd(e),1.0
EX_meoh_m,meoh,2.0,EX_meoh_m,EX_meoh(e),1.0
EX_pect_m,pect,6.677320000000001e-06,EX_pect_m,EX_pect(e),1.0
EX_xylan_m,xylan,3.20587e-05,EX_xylan_m,EX_xylan(e),1.0
EX_arabinogal_m,arabinogal,2.19148e-05,EX_arabinogal_m,EX_arabinogal(e),1.0
EX_homogal_m,homogal,0.0001282349,EX_homogal_m,EX_homogal(e),1.0
EX_rhamnogalurI_m,rhamnogalurI,1.44923e-05,EX_rhamnogalurI_m,EX_rhamnogalurI(e),1.0
EX_amylopect900_m,amylopect900,1.56731e-05,EX_amylopect900_m,EX_amylopect900(e),1.0
EX_amylose300_m,amylose300,4.70194e-05,EX_amylose300_m,EX_amylose300(e),1.0
EX_arabinan101_m,arabinan101,0.000166277,EX_arabinan101_m,EX_arabinan101(e),1.0
EX_arabinoxyl_m,arabinoxyl,0.0003066486,EX_arabinoxyl_m,EX_arabinoxyl(e),1.0
EX_bglc_m,bglc,1.41e-08,EX_bglc_m,EX_bglc(e),1.0
EX_dextran40_m,dextran40,0.0001763229,EX_dextran40_m,EX_dextran40(e),1.0
EX_galmannan_m,galmannan,1.41058e-05,EX_galmannan_m,EX_galmannan(e),1.0
EX_glcmannan_m,glcmannan,3.28807e-05,EX_glcmannan_m,EX_glcmannan(e),1.0
EX_levan1000_m,levan1000,1.41058e-05,EX_levan1000_m,EX_levan1000(e),1.0
EX_lichn_m,lichn,8.29755e-05,EX_lichn_m,EX_lichn(e),1.0
EX_lmn30_m,lmn30,0.0004701945,EX_lmn30_m,EX_lmn30(e),1.0
EX_xyluglc_m,xyluglc,1.31462e-05,EX_xyluglc_m,EX_xyluglc(e),1.0
EX_rhamnogalurII_m,rhamnogalurII,0.0002669874,EX_rhamnogalurII_m,EX_rhamnogalurII(e),1.0
EX_acmana_m,acmana,0.2,EX_acmana_m,EX_acmana(e),1.0
EX_glyleu_m,glyleu,0.000460574,EX_glyleu_m,EX_glyleu(e),1.0
EX_sbt_D_m,sbt_D,0.17755005302331328,EX_sbt_D_m,EX_sbt_D(e),62.53333333333339
EX_starch1200_m,starch1200,9.637630753450207e-06,EX_starch1200_m,EX_starch1200(e),0.8198819856783305
EX_amet_m,amet,0.2,EX_amet_m,EX_amet(e),1.0
EX_cellul_m,cellul,5.209007618052538e-05,EX_cellul_m,EX_cellul(e),1.8463997625285034
EX_sel_m,sel,1.0,EX_sel_m,EX_sel(e),1.0
EX_chsterol_m,chsterol,0.0012838579854333328,EX_chsterol_m,EX_chsterol(e),1.294733748924297
EX_fald_m,fald,0.2,EX_fald_m,EX_fald(e),1.0
EX_glc_D_m,glc_D,0.0008162909510529936,EX_glc_D_m,EX_glc_D(e),0.7918004061312721
